Prod. year,(All),,,,,,,,,,
,,,,,,,,,,,
Average of Price,Column Labels,,,,,,,,,,
Row Labels,Cabriolet,Coupe,Goods wagon,Hatchback,Jeep,Limousine,Microbus,Minivan,Sedan,Universal,Grand Total
ACURA,,,,,,,,,3140,,3140
AUDI,,,,,8620,,,,,,8620
BMW,1000,29010,,,1570,,,,15322,,12195.55556
CHEVROLET,,,,17250,4977.5,,,,6270,,7949
DODGE,,,,,18820,,,,,,18820
FIAT,,,,7060,,,,,3140,,5100
FORD,,,700,17000,5938.75,,9000,19000,11316.92308,,9613.2
HONDA,,,,10632.5,,,,,6270,,10147.77778
HYUNDAI,,,,25090,4546,,,,7444.705882,,7581.73913
JAGUAR,,,,,780,,,,,,780
JEEP,,,,,31360,,,,6270,,18815
KIA,,,,,,,,,29010,,29010
LEXUS,,,,7056.666667,5207.142857,,,,7643.75,,6208.8
LINCOLN,,,,,,1500,,,,,1500
MAZDA,,,,23000,4310,,,31360,19210,,13752.5
MERCEDES-BENZ,,16460,,,5488.75,,,1200,8962.692308,,8183.333333
MINI,,,,1570,,,,,,,1570
MITSUBISHI,,,,,600,,,,23126.66667,,17495
NISSAN,,,,31360,10160,,,,11172.5,,12685
OPEL,,,,47040,,,,,45000,,46020
PORSCHE,,7060,,,5490,,,,3920,,5490
SUBARU,,,30000,,5880,,,,,,13920
TOYOTA,,1250,,6190,7530.666667,,,4700,7431.052632,,7111.818182
VOLKSWAGEN,,,,18000,,,,,10453.33333,14900,12852
Grand Total,1000,13445,15350,11841.875,6418.219178,1500,9000,14065,9481,14900,9024.658635
